Poland, PL
"tas","	Year"," Month"," Country"," ISO3"," ISO2"
"-0.4922","1991","1","POL","",""
"-4.1962","1991","2","POL","",""
"4.54143","1991","3","POL","",""
"7.33486","1991","4","POL","",""
"10.3348","1991","5","POL","",""
"14.9642","1991","6","POL","",""
"19.1484","1991","7","POL","",""
"18.2666","1991","8","POL","",""
"14.433","1991","9","POL","",""
"8.06419","1991","10","POL","",""
"3.78087","1991","11","POL","",""
"-1.3371","1991","12","POL","",""
"-1.1835","1992","1","POL","",""
"1.03449","1992","2","POL","",""
"3.83366","1992","3","POL","",""
"7.37479","1992","4","POL","",""
"13.5368","1992","5","POL","",""
"18.1552","1992","6","POL","",""
"19.7794","1992","7","POL","",""
"20.875","1992","8","POL","",""
"13.1047","1992","9","POL","",""
"6.10459","1992","10","POL","",""
"3.55596","1992","11","POL","",""
"-0.8778","1992","12","POL","",""
"-0.3168","1993","1","POL","",""
"-1.2288","1993","2","POL","",""
"1.85422","1993","3","POL","",""
"8.66613","1993","4","POL","",""
"15.9057","1993","5","POL","",""
"15.2974","1993","6","POL","",""
"16.6726","1993","7","POL","",""
"16.68","1993","8","POL","",""
"12.1986","1993","9","POL","",""
"8.35017","1993","10","POL","",""
"-1.5033","1993","11","POL","",""
"1.5422","1993","12","POL","",""
"1.49421","1994","1","POL","",""
"-2.8318","1994","2","POL","",""
"4.19469","1994","3","POL","",""
"8.71042","1994","4","POL","",""
"12.3961","1994","5","POL","",""
"15.6024","1994","6","POL","",""
"21.0901","1994","7","POL","",""
"18.5431","1994","8","POL","",""
"14.7147","1994","9","POL","",""
"6.86204","1994","10","POL","",""
"3.78029","1994","11","POL","",""
"0.808","1994","12","POL","",""
"-2.0052","1995","1","POL","",""
"3.05064","1995","2","POL","",""
"3.13115","1995","3","POL","",""
"7.63275","1995","4","POL","",""
"12.4686","1995","5","POL","",""
"16.3581","1995","6","POL","",""
"20.0374","1995","7","POL","",""
"18.4772","1995","8","POL","",""
"13.1588","1995","9","POL","",""
"10.3686","1995","10","POL","",""
"0.27069","1995","11","POL","",""
"-4.5523","1995","12","POL","",""
"-6.142","1996","1","POL","",""
"-5.0988","1996","2","POL","",""
"-1.2193","1996","3","POL","",""
"7.74865","1996","4","POL","",""
"13.768","1996","5","POL","",""
"16.1817","1996","6","POL","",""
"16.1824","1996","7","POL","",""
"18.2452","1996","8","POL","",""
"10.6205","1996","9","POL","",""
"9.25988","1996","10","POL","",""
"5.32841","1996","11","POL","",""
"-4.8427","1996","12","POL","",""
"-4.9332","1997","1","POL","",""
"1.62917","1997","2","POL","",""
"3.21758","1997","3","POL","",""
"4.94387","1997","4","POL","",""
"13.2129","1997","5","POL","",""
"16.5464","1997","6","POL","",""
"17.806","1997","7","POL","",""
"18.939","1997","8","POL","",""
"13.4132","1997","9","POL","",""
"6.7477","1997","10","POL","",""
"2.7212","1997","11","POL","",""
"-0.1744","1997","12","POL","",""
"0.3066","1998","1","POL","",""
"3.12634","1998","2","POL","",""
"2.33463","1998","3","POL","",""
"9.65778","1998","4","POL","",""
"14.1213","1998","5","POL","",""
"17.1885","1998","6","POL","",""
"17.4971","1998","7","POL","",""
"16.7099","1998","8","POL","",""
"13.4294","1998","9","POL","",""
"8.08669","1998","10","POL","",""
"-0.903","1998","11","POL","",""
"-2.295","1998","12","POL","",""
"-0.5197","1999","1","POL","",""
"-1.2653","1999","2","POL","",""
"4.67865","1999","3","POL","",""
"9.26384","1999","4","POL","",""
"12.6714","1999","5","POL","",""
"17.1195","1999","6","POL","",""
"20.1535","1999","7","POL","",""
"17.7245","1999","8","POL","",""
"15.9642","1999","9","POL","",""
"8.55942","1999","10","POL","",""
"2.01118","1999","11","POL","",""
"0.39226","1999","12","POL","",""
"-1.7833","2000","1","POL","",""
"2.21097","2000","2","POL","",""
"3.74325","2000","3","POL","",""
"11.372","2000","4","POL","",""
"14.9442","2000","5","POL","",""
"17.1462","2000","6","POL","",""
"16.4426","2000","7","POL","",""
"18.2394","2000","8","POL","",""
"12.3394","2000","9","POL","",""
"11.6995","2000","10","POL","",""
"6.17714","2000","11","POL","",""
"1.47241","2000","12","POL","",""
"-0.9519","2001","1","POL","",""
"-0.475","2001","2","POL","",""
"2.68773","2001","3","POL","",""
"7.78886","2001","4","POL","",""
"14.1786","2001","5","POL","",""
"14.7968","2001","6","POL","",""
"20.0684","2001","7","POL","",""
"19.2831","2001","8","POL","",""
"12.3487","2001","9","POL","",""
"11.3698","2001","10","POL","",""
"2.51631","2001","11","POL","",""
"-3.6698","2001","12","POL","",""
"-0.9422","2002","1","POL","",""
"3.4702","2002","2","POL","",""
"4.75847","2002","3","POL","",""
"8.338","2002","4","POL","",""
"16.5008","2002","5","POL","",""
"17.3306","2002","6","POL","",""
"20.3807","2002","7","POL","",""
"20.3294","2002","8","POL","",""
"13.5707","2002","9","POL","",""
"7.35241","2002","10","POL","",""
"3.94544","2002","11","POL","",""
"-5.1042","2002","12","POL","",""
"-3.2006","2003","1","POL","",""
"-4.6717","2003","2","POL","",""
"2.29369","2003","3","POL","",""
"7.13907","2003","4","POL","",""
"15.454","2003","5","POL","",""
"17.9552","2003","6","POL","",""
"19.7179","2003","7","POL","",""
"19.2932","2003","8","POL","",""
"14.0782","2003","9","POL","",""
"5.82545","2003","10","POL","",""
"4.90397","2003","11","POL","",""
"0.76938","2003","12","POL","",""
"-4.6368","2004","1","POL","",""
"0.03875","2004","2","POL","",""
"3.68405","2004","3","POL","",""
"8.58231","2004","4","POL","",""
"12.1484","2004","5","POL","",""
"15.6412","2004","6","POL","",""
"17.7453","2004","7","POL","",""
"19.097","2004","8","POL","",""
"13.7112","2004","9","POL","",""
"10.0097","2004","10","POL","",""
"3.59893","2004","11","POL","",""
"1.19276","2004","12","POL","",""
"0.2181","2005","1","POL","",""
"-3.0049","2005","2","POL","",""
"0.58243","2005","3","POL","",""
"8.60776","2005","4","POL","",""
"13.3511","2005","5","POL","",""
"15.8686","2005","6","POL","",""
"19.681","2005","7","POL","",""
"17.4489","2005","8","POL","",""
"15.3443","2005","9","POL","",""
"9.58956","2005","10","POL","",""
"2.95517","2005","11","POL","",""
"-0.574","2005","12","POL","",""
"-7.0432","2006","1","POL","",""
"-3.0335","2006","2","POL","",""
"-0.1151","2006","3","POL","",""
"8.41874","2006","4","POL","",""
"13.4419","2006","5","POL","",""
"17.4047","2006","6","POL","",""
"21.0669","2006","7","POL","",""
"17.6725","2006","8","POL","",""
"15.911","2006","9","POL","",""
"10.9025","2006","10","POL","",""
"5.77766","2006","11","POL","",""
"3.58357","2006","12","POL","",""
"2.98522","2007","1","POL","",""
"-0.3268","2007","2","POL","",""
"6.63878","2007","3","POL","",""
"9.24723","2007","4","POL","",""
"15.1088","2007","5","POL","",""
"18.1262","2007","6","POL","",""
"18.7362","2007","7","POL","",""
"18.9712","2007","8","POL","",""
"13.2051","2007","9","POL","",""
"8.28007","2007","10","POL","",""
"1.88373","2007","11","POL","",""
"0.06754","2007","12","POL","",""
"0.67446","2008","1","POL","",""
"2.88729","2008","2","POL","",""
"3.97178","2008","3","POL","",""
"8.60681","2008","4","POL","",""
"13.5739","2008","5","POL","",""
"17.824","2008","6","POL","",""
"18.957","2008","7","POL","",""
"18.5893","2008","8","POL","",""
"12.9974","2008","9","POL","",""
"9.78381","2008","10","POL","",""
"4.82638","2008","11","POL","",""
"0.87159","2008","12","POL","",""
"-3.1952","2009","1","POL","",""
"-0.9832","2009","2","POL","",""
"3.10134","2009","3","POL","",""
"10.8624","2009","4","POL","",""
"13.3538","2009","5","POL","",""
"15.5888","2009","6","POL","",""
"19.4567","2009","7","POL","",""
"18.8582","2009","8","POL","",""
"15.299","2009","9","POL","",""
"7.36925","2009","10","POL","",""
"5.50138","2009","11","POL","",""
"-1.2856","2009","12","POL","",""
"-7.2359","2010","1","POL","",""
"-2.0533","2010","2","POL","",""
"3.42474","2010","3","POL","",""
"8.44119","2010","4","POL","",""
"12.6","2010","5","POL","",""
"17.0182","2010","6","POL","",""
"21.0241","2010","7","POL","",""
"19.2364","2010","8","POL","",""
"12.5771","2010","9","POL","",""
"6.24171","2010","10","POL","",""
"5.14962","2010","11","POL","",""
"-5.1505","2010","12","POL","",""
"-1.2797","2011","1","POL","",""
"-3.6405","2011","2","POL","",""
"3.20607","2011","3","POL","",""
"10.2857","2011","4","POL","",""
"13.9183","2011","5","POL","",""
"18.1837","2011","6","POL","",""
"18.1114","2011","7","POL","",""
"18.8","2011","8","POL","",""
"15.2393","2011","9","POL","",""
"8.75791","2011","10","POL","",""
"2.95534","2011","11","POL","",""
"2.53072","2011","12","POL","",""
"-1.2774","2012","1","POL","",""
"-5.9093","2012","2","POL","",""
"4.87371","2012","3","POL","",""
"8.84682","2012","4","POL","",""
"14.9414","2012","5","POL","",""
"16.612","2012","6","POL","",""
"20.0057","2012","7","POL","",""
"18.8532","2012","8","POL","",""
"14.7107","2012","9","POL","",""
"8.49584","2012","10","POL","",""
"5.22743","2012","11","POL","",""
"-2.6762","2012","12","POL","",""
"-3.3467","2013","1","POL","",""
"-0.6402","2013","2","POL","",""
"-1.3001","2013","3","POL","",""
"7.89657","2013","4","POL","",""
"14.865","2013","5","POL","",""
"17.6192","2013","6","POL","",""
"19.6347","2013","7","POL","",""
"19.2842","2013","8","POL","",""
"12.6198","2013","9","POL","",""
"10.4175","2013","10","POL","",""
"5.24624","2013","11","POL","",""
"2.01945","2013","12","POL","",""
"-1.7852","2014","1","POL","",""
"2.60015","2014","2","POL","",""
"6.73015","2014","3","POL","",""
"9.89621","2014","4","POL","",""
"13.4352","2014","5","POL","",""
"15.8993","2014","6","POL","",""
"20.5528","2014","7","POL","",""
"17.907","2014","8","POL","",""
"14.9628","2014","9","POL","",""
"10.4993","2014","10","POL","",""
"5.19561","2014","11","POL","",""
"1.12272","2014","12","POL","",""
"0.94074","2015","1","POL","",""
"0.95239","2015","2","POL","",""
"5.29215","2015","3","POL","",""
"7.97449","2015","4","POL","",""
"12.7017","2015","5","POL","",""
"16.262","2015","6","POL","",""
"19.192","2015","7","POL","",""
"20.6301","2015","8","POL","",""
"14.9818","2015","9","POL","",""
"8.13269","2015","10","POL","",""
"5.51234","2015","11","POL","",""
"4.27711","2015","12","POL","",""
